,localizacao,tamanho_quartos,valor
99, Maceió - Alagoas , 365 m² construídos | 4 quartos ,1.450.000
100, Maceió - Alagoas , 330 m² construídos | 4 quartos ,900.000
101," Av. das Gaivotas, 130 - Guaribas - Arapiraca - Alagoas ", 226 m² construídos | 2 quartos ,940.000
102, Gruta de Lourdes - Maceió - Alagoas , 300 m² construídos | 4 quartos ,600.000
103, Antares - Maceió - Alagoas , 187 m² construídos | 3 quartos ,650.000
104, Tabuleiro dos Martins - Maceió - Alagoas , 117 m² construídos | 2 quartos ,239.000
105, Porto de Pedras - Alagoas , 900 m² construídos | 8 quartos ,10.000.000
106, Maceió - Alagoas , 92 m² construídos | 2 quartos ,250.000
107, Avenida General Luiz de França Albuquerque - Jacarecica - Maceió - Alagoas , 360 m² construídos | 4 quartos ,1.700.000
108, Planalto - Arapiraca - Alagoas , 87 m² construídos | 3 quartos ,365.000
109, Jacarecica - Maceió - Alagoas , 660 m² construídos | 9 quartos ,1.800.000
110, Loteamento Graville 04 - Marechal Deodoro - Alagoas , 295 m² construídos | 4 quartos ,1.125.000
111, Antares - Maceió - Alagoas , 293 m² totais | 5 quartos ,1.200.000
112, Gruta de Lourdes - Maceió - Alagoas , 220 m² totais | 3 quartos ,550.000
113, Pitanguinha - Maceió - Alagoas , 231 m² construídos | 3 quartos ,700.000
114," Rua Augusto Gomes de Oliveira, 277 - Planalto - Arapiraca - Alagoas ", ,480.000
115, Antares - Maceió - Alagoas , 960 m² totais | 3 quartos ,700.000
116, Benedito Bentes - Maceió - Alagoas , 92 m² construídos | 3 quartos ,150.000
117, Avenida Menino Marcelo - Antares - Maceió - Alagoas , 200 m² construídos | 3 quartos ,650.000
118, Gruta de Lourdes - Maceió - Alagoas , 400 m² construídos | 5 quartos ,1.600.000
119, Rodovia Al 101 Sul - Barra de São Miguel - Alagoas , 300 m² construídos | 3 quartos ,550.000
120, Pinheiro - Maceió - Alagoas , 420 m² totais | 4 quartos ,700.000
121," Rua da Praia, - Porto de Pedras - Alagoas ", 900 m² construídos | 8 quartos ,10.000.000
122, Avenida do Ferroviário - Centro - Maceió - Alagoas , 257 m² construídos ,800.000
123, Poço - Maceió - Alagoas , 200 m² totais | 4 quartos ,600.000
124, Rodovia Al-101 Norte - Paripueira - Alagoas , 138 m² construídos | 3 quartos ,370.000
125, Residencial Reserva Bella Vista - Antares - Maceió - Alagoas , 330 m² construídos | 4 quartos ,1.100.000
126, Rio Largo - Alagoas , 185 m² totais | 3 quartos ,270.000
127, condomínio Granville 10 - Marechal Deodoro - Alagoas , 25 m² construídos | 3 quartos ,695.000
128," Av. das Gaivotas, 130 - Guaribas - Arapiraca - Alagoas ", 226 m² construídos | 2 quartos ,940.000
129, CONDOMÍNIO ALDEBARAN 743 - Tabuleiro dos Martins - Maceió - Alagoas , 386 m² construídos | 4 quartos ,1.500.000
130, Marechal Deodoro - Alagoas , 360 m² totais | 2 quartos ,260.000
131, COND. ALDEBARAN 08 - Tabuleiro dos Martins - Maceió - Alagoas , 450 m² construídos | 4 quartos ,1.200.000
132, Bebedouro - Maceió - Alagoas , 310 m² totais | 4 quartos ,530.000
