,tamanho,quartos,valor,tipo_area,preco
1277,74,2,285000,2,1
1453,74,2,160000,2,0
1570,74,2,230000,2,1
1713,74,2,205000,2,1
279,75,2,1400,2,0
282,75,2,1450,2,0
318,75,3,970,2,0
567,75,2,268000,2,1
621,75,2,290000,2,1
630,75,2,80000,2,0
745,75,2,340000,2,1
770,75,2,285000,2,1
966,75,2,270000,2,1
977,75,2,300000,2,1
1076,75,2,245000,2,1
1153,75,3,280000,2,1
1207,75,2,340000,2,1
1408,75,2,270000,2,1
1587,75,2,350000,2,1
1694,75,2,149999,2,0
1768,75,2,159000,2,0
404,76,2,295900,2,1
436,76,1,1450,2,0
527,76,2,85000,2,0
1016,76,2,230000,2,1
1087,76,2,240000,2,1
1210,76,2,330000,2,1
1295,76,2,85000,2,0
1544,76,2,300000,2,1
1740,76,3,250000,2,1
56,77,2,180000,2,0
361,77,2,1377,2,0
657,77,3,1100,2,0
1141,77,2,200000,2,1
1415,77,2,145000,2,0
1831,77,1,130000,2,0
189,78,3,320000,2,1
1322,78,2,180000,2,0
1879,78,3,420000,2,2
1902,78,2,280000,2,1
1919,78,2,200000,2,1
176,79,2,290000,2,1
269,79,2,229900,2,1
457,79,3,1700,2,0
765,79,2,279000,2,1
1088,79,2,355000,2,1
1112,79,2,388000,2,1
1220,79,3,240000,2,1
1228,79,3,240000,2,1
1742,79,3,219700,2,1
28,80,2,125000,2,0
32,80,2,1200,2,0
42,80,3,200000,2,1
70,80,2,800,2,0
93,80,2,230000,2,1
208,80,2,920,2,0
223,80,2,310000,2,1
240,80,2,1350,2,0
268,80,2,2000,2,0
270,80,2,870,2,0
302,80,2,1508,2,0
333,80,2,1398,2,0
364,80,2,2116,2,0
378,80,2,2200,2,0
380,80,3,5200,2,0
384,80,2,238900,2,1
420,80,1,1000,2,0
491,80,3,450,2,0
540,80,2,170000,2,0
577,80,2,50000,2,0
584,80,2,330000,2,1
591,80,3,52000,2,0
646,80,2,350000,2,1
672,80,2,265000,2,1
681,80,2,250000,2,1
682,80,2,225000,2,1
779,80,2,88000,2,0
956,80,3,220000,2,1
985,80,2,340000,2,1
1082,80,3,290000,2,1
1099,80,1,190000,2,0
1129,80,2,240000,2,1
1172,80,1,150000,2,0
1325,80,2,510000,2,1
1460,80,2,350000,2,1
1474,80,2,269900,2,1
1577,80,2,280,2,0
1861,80,4,269000,2,1
1904,80,2,350000,2,1
529,81,2,250,2,0
1187,81,2,320000,2,1
71,82,3,240000,2,1
292,82,2,1412,2,0
403,82,2,298000,2,1
773,82,2,138000,2,0
856,82,3,395000,2,1
1054,82,2,95000,2,0
1176,82,2,240000,2,1
1781,82,3,400000,2,1
256,83,2,259000,2,1
900,83,3,350000,2,1
1409,83,2,350000,2,1
1590,83,3,575000,2,2
13,84,2,1800,2,0
264,84,2,279900,2,1
1792,84,2,270000,2,1
1884,84,3,350000,2,1
33,85,2,120,2,0
44,85,1,45000,2,0
105,85,3,550000,2,2
366,85,2,2000,2,0
508,85,2,60000,2,0
628,85,2,320000,2,1
637,85,2,250000,2,1
777,85,3,285000,2,1
945,85,2,299000,2,1
1212,85,2,230000,2,1
1410,85,2,280000,2,1
1545,85,2,350000,2,1
1573,85,2,285000,2,1
1888,85,3,340000,2,1
335,86,2,2855,2,0
1555,86,3,490000,2,2
277,87,2,2150,2,0
1164,87,3,355000,2,1
1540,87,3,565000,2,2
1565,87,2,250000,2,1
1703,87,3,595000,2,2
635,88,2,349000,2,1
699,88,2,299000,2,1
1351,88,3,520000,2,2
1643,88,3,430000,2,1
170,89,2,240000,2,1
939,89,2,350000,2,1
1691,89,2,304900,2,1
26,90,1,1000,2,0
102,90,2,1080,2,0
203,90,2,1700,2,0
251,90,2,215000,2,0
253,90,2,1400,2,0
320,90,2,2620,2,0
352,90,2,2600,2,0
356,90,2,1700,2,0
357,90,2,1600,2,0
408,90,2,269000,2,1
461,90,3,138000,2,0
486,90,2,365000,2,1
528,90,2,650,2,0
585,90,2,265000,2,1
647,90,3,265000,2,1
649,90,1,100000,2,0
738,90,2,119,2,0
769,90,3,320000,2,1
838,90,2,365000,2,1
947,90,2,190000,2,0
1014,90,2,375000,2,1
