,localizacao,tamanho_quartos,valor
465, Estrada Laramara 1550 - Terra Preta - Atibaia - São Paulo , 370 m² construídos | 4 quartos ,1.800.000
466, Rua José de Andrade Moraes - Vila Adalgisa - São Paulo Zona Oeste - São Paulo , 40 m² construídos | 1 quarto ,500
467, avenida vereador benedito de campos 113 - Centro - Ibiúna - São Paulo , 130 m² construídos | 3 quartos ,590.000
468," Avenida João Ambiel, 860 - Residencial Duas Marias - Indaiatuba - São Paulo ", 220 m² construídos | 3 quartos ,1.249.000
469, Indaiatuba - São Paulo , 179 m² construídos | 3 quartos ,790.000
470, Indaiatuba - São Paulo , 170 m² construídos | 3 quartos ,825.000
471, Rua Tavares Ferreira - Rocha - Rio de Janeiro Zona Norte - Rio de Janeiro , 160 m² construídos | 3 quartos ,2.200
472," Palmeira Pupunha, 100 - Jardim Irmãos Sigrist - Campinas - São Paulo ", 250 m² construídos | 3 quartos ,1.800
473, Rua Jacuruta - Vila da Penha - Rio de Janeiro Zona Norte - Rio de Janeiro , 70 m² construídos | 1 quarto ,1.000
474, Rua Salvador Antiga Rua 18 (Jardim Oratório) 401 - Jardim Rosina - Mauá - São Paulo , 160 m² construídos | 6 quartos ,285.000
475, CONDOMINIO ARUJA 5 - Arujá/SP - Arujazinho II - Arujá - São Paulo , 3 quartos ,1.500.000
476," R Centro, do - Vila Camilópolis - Santo André - São Paulo ", 40 m² construídos | 1 quarto ,1.000
477, Alphaville Nova Esplanada - Votorantim - São Paulo , 395 m² construídos | 4 quartos ,2.810.000
478, 0 0 - Atibaianos - Bragança Paulista - São Paulo , 1000 m² totais ,55.000
479, 0 0 - Atibaianos - Bragança Paulista - São Paulo , 1000 m² totais ,55.000
480, Rua Caio Nelson de Almeida - Jardim Do Golfe - São José dos Campos - São Paulo , 350 m² construídos | 4 quartos ,2.200.000
481, Rua José da Silva Leme - Jardim Do Lar - Várzea Paulista - São Paulo , 50 m² construídos | 1 quarto ,654
482, Cambroé 200 - Urbanova II - São José dos Campos - São Paulo , 450 m² construídos | 4 quartos ,2.500.000
483, CENTRO - Arujá/SP - Arujá - São Paulo , 56 m² totais | 2 quartos ,307.000
484," Estrada Municipal Adelina Segantini Cerqueira Leite, 10000 - Chácara São Rafael - Campinas - São Paulo ", 600 m² construídos | 5 quartos ,3.900.000
485, CONDOMINIO ARUJA 5 - Arujá/SP - Arujazinho II - Arujá - São Paulo , 4 quartos ,3.500.000
486, R Paula Nei - Vila Pires - Santo André - São Paulo , 90 m² construídos | 2 quartos ,365.000
487, 0 0 - Cidade Planejada II - Bragança Paulista - São Paulo , 500 m² totais ,35.000
488, CONDOMINIO REAL PARK - Arujá/SP - Arujá - São Paulo , 290 m² construídos | 4 quartos ,1.600.000
489," Avenida Araçá, 626 - Loteamento Alphaville Campinas - Campinas - São Paulo ", 704 m² construídos | 5 quartos ,3.800.000
490," Avenida Araçá, 626 - Loteamento Alphaville Campinas - Campinas - São Paulo ", 752 m² construídos | 4 quartos ,6.500.000
491, José Domiciano da silva 681 - Jardim Bopiranga - Itanhaém - São Paulo , 80 m² construídos | 3 quartos ,450
492, octavio cappellini 51 - Jardim Grandesp - Itanhaém - São Paulo , 450 m² construídos | 05 quartos ,75
493, R. Carlos Sanches Gonzales 419 - Rio Acima - Mairiporã - São Paulo , 10000 m² construídos | 2 quartos ,350
494, Principe Do Grão Para 134 - Itaquera - São Paulo Zona Leste - São Paulo , 32 m² construídos | 1 quarto ,550
495, Sao Romero SN - Vila Caicara - Praia Grande - São Paulo , 120 m² construídos | 2 quartos ,350
496, Rua Helena Rodrigues da Costa 17 - Jardim Elvira - Osasco - São Paulo , 70 m² construídos | 2 quartos ,900
497, pedro carlos geronimo soares 360 - Jardim Grandesp - Itanhaém - São Paulo , 260 m² construídos | 4 quartos ,600
498, lino ferri 230 - Parque Alvorada - Suzano - São Paulo , 40 m² construídos | 1 quarto ,450
499, Rio dos Cedros 30 - Jardim Peri - São Paulo Zona Norte - São Paulo , 70 m² construídos | 2 quartos ,850
500, Rua: RIO DE JANEIRO BAIRRO CIBRATEL ll 001 - Cibratel II - Itanhaém - São Paulo , 500 m² construídos | 4 quartos ,800
501, Nobrega De Souza Coutinho 05 - Jardim Peri - São Paulo Zona Norte - São Paulo , 70 m² construídos | 1 quarto ,600
502, Avenida Hermenegildo Pereira França 300 - Balneario Esmeralda - Praia Grande - São Paulo , 25 m² construídos | 3 quartos ,400
503, Pedro Osório Filho 533 - Imirim - São Paulo Zona Norte - São Paulo , 160 m² construídos | 1 quarto ,700
504, Rua Antonio Soares Godinho 37 - Barnabes - Juquitiba - São Paulo , 580800 m² construídos | 2 quartos ,400.000
505, Octavio Capellini 51 - Jardim Cibratel - Itanhaém - São Paulo , 550 m² construídos | 6 quartos ,75
506, Atlântica 600 - Cibratel - Itanhaém - São Paulo , 1000 m² construídos | 6 quartos ,65
507, Rua Buarque SN - Praia Sêca - Araruama - Rio De Janeiro , 160 m² construídos | 3 quartos ,220
508, Código 3983G 0 - Balneário Gaivota - Itanhaém - São Paulo , 85 m² construídos | 2 quartos ,60.000
509, Rua do comriecio 25 - Vargem Do Salto - Ibiúna - São Paulo , 200 m² construídos | 3 quartos ,330.000
510, Avenida Jose Cesário Pereira Filho 600 - Centro - Mongaguá - São Paulo , 140 m² construídos | 3 quartos ,100
511, Escritório Imobiliário Roberto Lorenzato 115 - Estancia Balnearia Maria Helena Novães - Peruíbe - São Paulo , 158 m² construídos | 3 quartos ,418.000
512, Rua do Comércio 25 - Murundu - Ibiúna - São Paulo , 150 ha construídos | 2 quartos ,179.000
513, alcides marques 48 - Cibratel II - Itanhaém - São Paulo , 450 m² construídos | 08 quartos ,65
514, ESTRADA DO SANTISSIMO 645 - Parque Santa Tereza - Santa Isabel - São Paulo , 500 ha construídos | 2 quartos ,450
515, alameda Fortaleza 200 - Guaeca - São Sebastião - São Paulo , 480 m² construídos | 6 quartos ,1.500
516, Vereador Armando Ferreira 228 - Balneário Gaivota - Itanhaém - São Paulo , 250 m² construídos | 3 quartos ,500
517," Rod manoel hypolito do rego, km 193 km 193 - Morada Da Praia - Bertioga - São Paulo ", 120 m² construídos | 2 quartos ,500
518, suites e chales na praia 60 - Balneário Gaivota - Itanhaém - São Paulo , 2500 m² construídos | 8 quartos ,60
519, MARIO QUINTANILHA 01 - Figueira - Arraial do Cabo - Rio de Janeiro , 270 m² construídos | 03 quartos ,300
520, Chácara Ondas Verdes - Cotia - São Paulo , 97 m² construídos | 3 quartos ,2.000
521, Rua Antonio Soares Godinho ( Endereço da Imobiliária) 37 - Barnabes - Juquitiba - São Paulo , 15000 m² construídos | 2 quartos ,230.000
522, Rua Joviano Cardoso do Nascimento 58 - Balneário Gaivota - Itanhaém - São Paulo , 300 m² construídos | 5 quartos ,800
523, Carlos João Donner 1 - Jardim Grandesp - Itanhaém - São Paulo , 150 m² construídos | 3 quartos ,400
524," Av. Ceci, 100 - Tamboré, Barueri - SP, 100 - Tamboré - Barueri - São Paulo ", 1450 m² construídos | 6 quartos ,12.500.000
525, Código 6945G 0 - Jardim Marina - Mongaguá - São Paulo , 60 m² construídos | 2 quartos ,65.000
526, Rua do Comércio 25 - Vargem Do Salto - Ibiúna - São Paulo , 80 ha construídos | 2 quartos ,175.000
527, Código 6717G 0 - Balneário Gaivota - Itanhaém - São Paulo , 76 m² construídos | 2 quartos ,85.000
528, Rua Graciliano Ramos 151 - Vila Jockei Clube - São Vicente - São Paulo , 90 m² construídos | 2 quartos ,650
529, Rua Tino Gonçalves Vaz 351 - Balneario Britânia - Ilha Comprida - São Paulo , 81 m² construídos | 2 quartos ,250
530, Jardim Álamo - Guarulhos - São Paulo , 60 m² construídos | 1 quarto ,650
531, RUA ALEXANDRE MARQUES LIMA 500 - Embu Guaçu - Embu Guaçu - São Paulo , 800 m² construídos | 3 quartos ,390.000
532, Vila Nova Aparecida - Mogi das Cruzes - São Paulo , 68 m² construídos | 2 quartos ,225.000
533, Rua Catello Rafaele Izzo 214 - Lauzane Paulista - São Paulo Zona Norte - São Paulo , 40 m² construídos | 1 quarto ,720
534, Rua do Comércio 25 - Ibiuna - Ibiúna - São Paulo , 200 m² construídos | 3 quartos ,299.999
535, Bairro Belas Artes 000 - Belas Artes - Itanhaém - São Paulo , 360 m² construídos | 2 quartos ,400
536," Rua Quixadá, 00 - Vila Invernada - São Paulo Zona Leste - São Paulo ", 56 m² construídos | 1 quarto ,1.000
537, Barao de itarare SN - Jardim Imperador - Praia Grande - São Paulo , 110 m² construídos | 3 quartos ,400
538, Eugênia Sa Vitale 85 - Taboão - São Bernardo do Campo - São Paulo , 48 m² construídos | 1 quarto ,700
539, Rua Gustavo Avelino Correia 354 - Carapicuíba - São Paulo , 30 m² construídos | 1 quarto ,450
540, Caripunas 166 - Vila Tupi - Praia Grande - São Paulo , 80 m² construídos | 2 quartos ,170.000
541, Rua do Comércio 25 - Verava - Ibiúna - São Paulo , 120 m² construídos | 4 quartos ,350.000
542, Rua Norma Calegari Galetto - Parque Savoy City - São Paulo Zona Leste - São Paulo , 70 m² construídos | 2 quartos ,284.999
543, ameixeiras 621 - Jardim Petrópolis - Cotia - São Paulo , 125 m² construídos | 2 quartos ,279.999
544, Av. Monteiro lobato 11500 - Balneario Itaguai - Mongaguá - São Paulo , 70 m² construídos | 2 quartos ,58.000
545, Rua antonio baena fernandes 290 - Balneario Santa Julia - Itanhaém - São Paulo , 120 m² construídos | 4 quartos ,200
546, Bangalo bom local R$ 70000 - Vila Caicara - Praia Grande - São Paulo , 20 m² construídos | 1 quarto ,70.000
547, Rua Taubaté 690 - Itaguá - Ubatuba - São Paulo , 150 m² construídos | 6 quartos ,600
548, Código 5488G 0 - Cibratel II - Itanhaém - São Paulo , 50 m² construídos | 1 quarto ,130.000
549, Rua do Comércio 25 - Votorantim - Ibiúna - São Paulo , 130 ha construídos | 3 quartos ,269.000
550, av tamoios 300 - Tupy - Itanhaém - São Paulo , 150 m² construídos | 4 quartos ,600
551, RUA DAS IPOMEIAS 187 - Vila Prudente - São Paulo Zona Leste - São Paulo , 500000 m² construídos | 1 quarto ,750
552, ISAAC ZUSKIM 159 - Centro - Peruíbe - São Paulo , 300 m² construídos | 3 quartos ,599
553, Rua Olimpio Faustino 201 - Camburi - São Sebastião - São Paulo , 700 m² construídos | 4 quartos ,1.200
554, Rua Maria José Bretas 128 - Jardim Ipanema - Ferraz de Vasconcelos - São Paulo , 180 m² construídos | 2 quartos ,155.000
555, Rua Palma Sola - Itaquera - São Paulo Zona Leste - São Paulo , 130 m² construídos | 3 quartos ,2.000
556, Avenida Jose Cesário Pereira Filho 604 - Centro - Mongaguá - São Paulo , 140 m² construídos | 3 quartos ,50
557, avenida flacides ferreira 1048 - Balneário Gaivota - Itanhaém - São Paulo , 115 m² construídos | 2 quartos ,265.000
558, Escritório Imobiliário Roberto Lorenzato 115 - Parque Turistico - Peruíbe - São Paulo , 270 m² construídos | 4 quartos ,562.000
559, Rua Maria Geralda Valadão 1087 - Guarujá - São Paulo , 48 m² construídos | 1 quarto ,80
560, Escritório Imobiliário Roberto Lorenzato 115 - São Marcos - Peruíbe - São Paulo , 290 m² construídos | 3 quartos ,697.000
561, Rua Marginal 6710 - Balneário Gaivota - Itanhaém - São Paulo , 30 m² construídos | 1 quarto ,90.000
562, TUPINAMBAS 000 - Tupy - Itanhaém - São Paulo , 100 m² construídos | 3 quartos ,600
563, Cibratel II - Itanhaém/SP - Itanhaém - São Paulo , 44 m² construídos | 2 quartos ,145.000
564," Rua Gerbera, 849 - Jardim Japão - Cotia - São Paulo ", 70 m² construídos | 2 quartos ,180.000
565, Rua Morango 114 - Praia Do Lazaro - Ubatuba - São Paulo , 155 m² construídos | 3 quartos ,150
566, Jardim Álamo - Guarulhos - São Paulo , 100 m² construídos | 1 quarto ,180.000
567, Código 6904G 0 - Tupy - Itanhaém - São Paulo , 75 m² construídos | 2 quartos ,268.000
568, Avenida Tamoios 235 - Tupy - Itanhaém - São Paulo , 190 m² construídos | 04 quartos ,400
569, Jarbas Nielsen 1 - Vila Francos - São Paulo Zona Norte - São Paulo , 150 m² construídos | 5 quartos ,2.000
570," Casa 1 qto sala, gar bom quintal etc R$ 175000 - Vila Caicara - Praia Grande - São Paulo ", 55 m² construídos | 1 quarto ,175.000
571," Estr. Itapeti do Salto, Mogi das Cruzes - SP 100 - Arua - Mogi das Cruzes - São Paulo ", 780 m² construídos | 5 quartos ,6.500.000
572, Alexandre de Gusmão 200 - Cidade Balneária Nova Peruíbe - Peruíbe - São Paulo , 160 m² construídos | 3 quartos ,550
573, Código 6894G 0 - Jardim Jamaica - Itanhaém - São Paulo , 35 m² construídos | 1 quarto ,90.000
574, Parque Continental - Guarulhos - São Paulo , 3 quartos ,295.000
575, Casa Temporada Praia 2020 - Benjamin Constant 384 - Aruan - Caraguatatuba - São Paulo , 230 m² construídos | 3 quartos ,750
576, LINDA Casa isol c/piscina ampla 3qtos (2suites) edíc.ampla próx praia $ 595000 - Jardim Real - Praia Grande - São Paulo , 200 m² construídos | 5 quartos ,595.000
577, Código 6684G 0 - Jardim Palmeiras - Itanhaém - São Paulo , 80 m² construídos | 2 quartos ,50.000
578, Rua Serra Negra 281 - Vila Balneária - Praia Grande - São Paulo , 180 m² construídos | 3 quartos ,180
579, das Pacas 1001 - Unamar - Cabo Frio - Rio de Janeiro , 51 m² construídos | 2 quartos ,80.000
580, Rua Jorge Fernando 149 - Jardim Alvorada - Nova Iguaçu - Rio de Janeiro , 63 m² construídos | 2 quartos ,140.000
581, Rua Belo Horizonte 238 - Pauba - São Sebastião - São Paulo , 150 m² construídos | 2 quartos ,49
582, Ulisses Guimarães 01 - Peró - Cabo Frio - Rio de Janeiro , 150 m² construídos | 2 quartos ,150
583, Código 6774G 0 - Jardim Corumbá - Itanhaém - São Paulo , 40 m² construídos | 1 quarto ,95.000
584, Rua Alencar Araripe 415 - Sacomã - São Paulo Zona Sul - São Paulo , 80 m² construídos | 2 quartos ,330.000
585, Rua João Velho do Rego 995 - São Mateus - São Paulo Zona Leste - São Paulo , 90 m² construídos | 2 quartos ,265.000
586, Rua Avestruz 85 - Ubatuba - Ubatuba - São Paulo , 50 m² construídos | 1 quarto ,149
587, Avenida Yojiro Takaoka - Alphaville - Santana de Parnaíba - São Paulo , 2300 m² construídos | 8 quartos ,19.000.000
588," Casa 3 qtos, suite, gar 3, próx praia R$ 235000 - Jardim Imperador - Praia Grande - São Paulo ", 100 m² construídos | 3 quartos ,250.000
589, 2 qtos suite quintal próx praia e comércios R$ 220000 - Vila Caicara - Praia Grande - São Paulo , 100 m² construídos | 2 quartos ,220.000
590, Nossa Senhora da Praia Grande 38 - Vila Caicara - Praia Grande - São Paulo , 220 m² construídos | 2 quartos ,250
591, Código 6969G 0 - Balneário Gaivota - Itanhaém - São Paulo , 80 m² construídos | 3 quartos ,52.000
592, Rua do Comércio 25 - Vargem Do Salto - Ibiúna - São Paulo , 100 ha construídos | 2 quartos ,120.000
593, Escritório Imobiliário Roberto Lorenzato 115 - Estancia Balnearia Maria Helena Novães - Peruíbe - São Paulo , 280 m² construídos | 4 quartos ,837.000
594, Código 3162G 000 - Jardim Coronel - Itanhaém - São Paulo , 55 m² construídos | 2 quartos ,70.000
595, Rua das Cotovias 874 - Recanto Dos Passaros - Jacareí - São Paulo , 600 m² construídos | 4 quartos ,800
596, Jose domiciano da silva 805 - Bopiranga - Itanhaém - São Paulo , 100 m² construídos | 3 quartos ,400
597, avenida Monteiro Lobato 11500 - Balneario Itaguai - Mongaguá - São Paulo , 150 m² construídos | 2 quartos ,150.000
598, av alemanha 62 - Balneario Santa Julia - Itanhaém - São Paulo , 150 m² construídos | 4 quartos ,450
599, Código 5100G 0 - Itanhaem - Itanhaém - São Paulo , 45 m² construídos | 1 quarto ,85.000
600, Canto Do Forte - Praia Grande - São Paulo , 140 m² totais | 3 quartos ,250.000
601, Código 6710G 0 - Recanto Dos Bandeirantes - Itanhaém - São Paulo , 40 m² construídos | 1 quarto ,70.000
602, Escritório Imobiliário Roberto Lorenzato 115 - Estancia Balnearia Convento Velho - Peruíbe - São Paulo , 221 m² construídos | 3 quartos ,469.000
603, paraiso itanhaem praia do sonho 162 - Itanhaem - Itanhaém - São Paulo , 900 m² construídos | 8 quartos ,75
604, Rua João Martins da Silva 000 - Parque Residencial Casa Branca - Suzano - São Paulo , 125 m² construídos | 2 quartos ,230.000
605, xxxxxxxxxxxxxxxxxxxxxxxxx 43 - Praia De Maranduba - Ubatuba - São Paulo , 700 m² construídos | 7 quartos ,10
606, 1 1 - Cibratel II - Itanhaém - São Paulo , 50 m² construídos | 2 quartos ,139.000
607, Parque Continental I - Guarulhos - São Paulo , 180 m² construídos | 2 quartos ,2.100
608, Rua das Pacas 2204 - Unamar - Cabo Frio - Rio de Janeiro , 51 m² construídos | 2 quartos ,99.900
609, Av. Monteiro lobato 11500 - Balneario Itaguai - Mongaguá - São Paulo , 55 m² construídos | 1 quarto ,70.000
610," Casa 2 qtos, gar 4 car, espaço p/piscina R$ 235000 - Vila Caicara - Praia Grande - São Paulo ", 70 m² construídos | 2 quartos ,235.000
611, Rua Marginal 6886 - Tupy - Itanhaém - São Paulo , 61 m² construídos | 2 quartos ,190.000
612, Rau dirce lisse do nascimento 368 - Itanhaém - São Paulo , 420 m² construídos | 12 quartos ,350
613, Jardim São Felipe - Atibaia/SP - Jardim São Felipe - Atibaia - São Paulo , 1050 m² construídos | 3 quartos ,698.000
614, Rua das Dunas Manoel correa 10 - Recanto Das Dunas - Cabo Frio - Rio De Janeiro , 60 m² construídos | 2 quartos ,100
615, Julio Buono 51 - Vila Gustavo - São Paulo Zona Norte - São Paulo , 50 m² construídos | 1 quarto ,820
616, Conceição - Diadema - São Paulo , 60 m² construídos | 3 quartos ,1.000
617, Escritório Imobiliário Roberto Lorenzato 115 - Balneario São João Batista - Peruíbe - São Paulo , 180 m² construídos | 3 quartos ,780.000
618, Rua 18 - Rio das Ostras - Rio de Janeiro , 60 m² construídos | 2 quartos ,150.000
619, Escritório Imobiliário Roberto Lorenzato 115 - Estancia Balnearia Maria Helena Novães - Peruíbe - São Paulo , 140 m² construídos | 2 quartos ,262.000
620, JARDIM VITORIA REGIA 1 - Atibaia - São Paulo , 100 m² construídos | 2 quartos ,210.000
621, Escritório Imobiliário Roberto Lorenzato 115 - Balneario Barra De Jangada - Peruíbe - São Paulo , 75 m² construídos | 2 quartos ,290.000
622, Rua Marginal 6436 - Suarão - Itanhaém - São Paulo , 65 m² construídos | 2 quartos ,35.000
623, Rua Canuto Luiz do Nascimento - Jardim Capelinha - São Paulo Zona Oeste - São Paulo , 33 m² construídos ,650
624, rua jose mozart de araujo 386 - Bairro Das Graças - Cotia - São Paulo , 45 m² construídos | 2 quartos ,170.000
625, Jardim Álamo - Guarulhos - São Paulo , 200 m² construídos | 3 quartos ,260.000
626, Nao Informado - Jardim São Nicolau - São Paulo Zona Leste - São Paulo , 2 quartos ,230.000
627, nelsom de barros 718 - Jardim Grandesp - Itanhaém - São Paulo , 250 m² construídos | 5 quartos ,550
628, Praia Das Palmeiras - Caraguatatuba - São Paulo , 85 m² construídos | 2 quartos ,320.000
629, Rua Janina - Vila de São Fernando - Cotia - São Paulo , 470 m² construídos | 4 quartos ,2.190.000
630, Código 6268G 0 - Nossa Senhora Do Sion - Itanhaém - São Paulo , 75 m² construídos | 2 quartos ,80.000
631, Rua Hermenegildo de Azevedo 95 - Enseada - Guarujá - São Paulo , 543 m² construídos | 3 quartos ,60
632, Estrada do tabuleiro verde r4 4 - Tijuco Preto - Cotia - São Paulo , 300 ha construídos | 5 quartos ,850
633, Avenida Antônio Pincinato - Jundiaí - São Paulo , 245 m² construídos | 3 quartos ,1.150.000
634, Rua do Comércio 25 - Ibiuna - Ibiúna - São Paulo , 90 ha construídos | 3 quartos ,220.000
635, Parque Oratório - Santo André - São Paulo , 88 m² construídos | 2 quartos ,349.000
636, Rua João Fernandes 300 - Jardim Nossa Senhora do Carmo - São Paulo Zona Leste - São Paulo , 120 m² construídos | 3 quartos ,490.000
637, Mogi Moderno - Mogi das Cruzes - São Paulo , 85 m² construídos | 2 quartos ,250.000
638, Bertioga - São Paulo , 181 m² construídos | 3 quartos ,420.000
639, Rua Peixes - Jardim Vila Carrão - São Paulo Zona Leste - São Paulo , 70 m² construídos | 1 quarto ,900
640," Casa Isolada 1 qto, 3 gar, próx praia e comércios R$ 170000 - Vila Caicara - Praia Grande - São Paulo ", 60 m² construídos | 1 quarto ,175.000
641, Rua José Marques 384 Savoy 2 384 - Itanhaem - Itanhaém - São Paulo , 100 m² construídos | 2 quartos ,250
642, Julião da Silva Cruz 48 - Perequê Mirim - Ubatuba - São Paulo , 200 m² construídos | 3 quartos ,60
643, Estrada Do Pedroso 1340 - Jardim Santo André - Santo André - São Paulo , 69 m² construídos | 2 quartos ,265.000
644, Escritório Imobiliário Roberto Lorenzato 115 - Parque Balneario Oasis - Peruíbe - São Paulo , 243 m² construídos | 3 quartos ,640.000
645, Rua José Alves do Nascimento 36 - Lauzane Paulista - São Paulo Zona Norte - São Paulo , 173 m² construídos | 3 quartos ,910.000
646, Guarulhos - São Paulo , 80 m² construídos | 2 quartos ,350.000
647, Praia Grande - São Paulo , 90 m² construídos | 3 quartos ,265.000
648, Alameda antonio benedito salvador 3 - Cururuquara - Santana de Parnaíba - São Paulo , 150 m² construídos | 2 quartos ,449.000
649, Rua Marginal 6694 - Luíza Mar Mirim - Itanhaém - São Paulo , 90 m² construídos | 1 quarto ,100.000
650, Rua Bartolomeu B da Silva 189 - Granja Viana - Cotia - São Paulo , 440 m² construídos | 1 quarto ,450.000
651, Ribeirão Pires 000 - Cidade Edson - Suzano - São Paulo , 109 m² construídos | 3 quartos ,285.000
652, Praia Grande - São Paulo , 66 m² construídos | 2 quartos ,200.000
653, Travessa São Fidélis - Vila Rosália - Guarulhos - São Paulo , 450 m² construídos | 4 quartos ,1.700.000
654, Rua Maranhão 45 - Balneário Gaivota - Itanhaém - São Paulo , 60 m² construídos | 2 quartos ,250
655, FABIO IVANOFF (11)972444870 http://www.suachacara.com.br/ - Ref 1609 - Centro - Boituva - São Paulo , 250 m² construídos | 4 quartos ,580.000
656, ESTRADA MUNICIPAL 66 - Palestina - Juquitiba - São Paulo , 500 m² construídos | 1 quarto ,67.000
657," Rua João Martini Filho, 525 - Jardim São Conrado - Sorocaba - São Paulo ", 77 m² construídos | 3 quartos ,1.100
658, Linda isolada 5 qtos( 2 suites) piscina edicula jardins etc $ 595000 - Jardim Real - Praia Grande - São Paulo , 220 m² construídos | 5 quartos ,595.000
659, Americanópolis - São Paulo Zona Sul - São Paulo , 30 m² construídos | 1 quarto ,600
660, JD das Palmeiras - Itanhaém/SP - Itanhaém - São Paulo , 58 m² construídos | 2 quartos ,130.000
661, xxxxxxxxxxxxxxx 1 - Ubatuba - Ubatuba - São Paulo , 1200 m² construídos | 6 quartos ,10
662, Mongaguá - São Paulo , 135 m² construídos | 1 quarto ,155.000
663," Avenida Monteiro Lobato, Balneário Flórida Mirim Mongaguá / SP 12490 - Florida Mirim - Mongaguá - São Paulo ", 60 m² construídos | 2 quartos ,150.000
664, Escritório Imobiliário Roberto Lorenzato 115 - Nova Peruíbe - Peruíbe - São Paulo , 66 m² construídos | 2 quartos ,210.000
665, Anselmo Marques Rodrigues 801 - Condomínio Jatoba - Ribeirão Preto - São Paulo , 120 m² construídos | 4 quartos ,390.000
666, Conceição - Diadema - São Paulo , 35 m² construídos | 1 quarto ,550
667, Escritório Imobiliário Roberto Lorenzato 115 - Estancia São Jose - Peruíbe - São Paulo , 141 m² construídos | 3 quartos ,448.000
668, Avenida Marginal 6469 - Santa Terezinha - Itanhaém - São Paulo , 70 m² construídos | 2 quartos ,65.000
669, Granja Viana - Cotia - São Paulo , 250 m² construídos | 4 quartos ,954.000
670, itaim paulista 0 - Itaim Paulista - São Paulo Zona Leste - São Paulo , 120 m² construídos | 3 quartos ,370.000
671, Rua Engenheiro Silva Braga 202 - Vila Brasilina - São Paulo Zona Sul - São Paulo , 40 m² construídos | 1 quarto ,850
672, Vila Príncipe de Gales - Santo André - São Paulo , 80 m² construídos | 2 quartos ,265.000
673, Rua Joaquim Marra 2300 - Vila Matilde - São Paulo Zona Leste - São Paulo , 140 m² construídos | 3 quartos ,420.000
674, Av. Bartholomeu de Carlos 901 - Jardim Flor da Montanha - Guarulhos - São Paulo , 122 m² construídos | 3 quartos ,1.124.000
675, Escritório Imobiliário Roberto Lorenzato 115 - Estancia Balnearia Convento Velho - Peruíbe - São Paulo , 163 m² construídos | 3 quartos ,549.000
676, Escritório Imobiliário Roberto Lorenzato 58 - Bougainvillee IV - Peruíbe - São Paulo , 360 m² construídos | 4 quartos ,1.950.000
677, Amador Bueno da Veiga 282 - Penha De Franca - São Paulo Zona Leste - São Paulo , 6 m² construídos | 1 quarto ,299
678, Código 7063G 0 - Itanhaem - Itanhaém - São Paulo , 50 m² construídos | 1 quarto ,85.000
679, Mongaguá - São Paulo , 125 m² construídos | 2 quartos ,165.000
680, Rua tereza 135 - Indaia - Bertioga - São Paulo , 300 m² construídos | 8 quartos ,700
681," 2 qtos/suite, sala 2 ambs, coz. ampla, próx praia R$ 250000 - Balneario Florida - Praia Grande - São Paulo ", 80 m² construídos | 2 quartos ,250.000
682, Casa com edícula próx praia $ 225000 - Vila Caicara - Praia Grande - São Paulo , 80 m² construídos | 2 quartos ,225.000
683, Irineu Mendes de Sousa 156 - Martim De Sá - Caraguatatuba - São Paulo , 20 m² construídos | 1 quarto ,100
684," Avenida São Paulo, 5000 Vila Atlântica, Mongaguá, SP 1 - Florida Mirim - Mongaguá - São Paulo ", 104 m² construídos | 3 quartos ,265.000
685, Búzios - Rio de Janeiro , 500 m² construídos | 5 quartos ,4.900.000
686, Rua Duque de Caxias - Petrópolis - Rio de Janeiro , 114 m² construídos | 3 quartos ,250.000
687, x 1 - Jardim São Manoel - Guarulhos - São Paulo , 400 m² construídos | 4 quartos ,750.000.000
688, FABIO IVANOFF (11)972444870 http://www.suachacara.com.br/ - Ref 1878 - Centro - Boituva - São Paulo , 200 m² construídos | 4 quartos ,540.000
689, Tupiniquins 161 - Tupy - Itanhaém - São Paulo , 150 m² construídos | 4 quartos ,330.000
690," CASA 2 qtos, suite, 2 gar próx praia, espaço p/piscina R$ 265000 - Vila Caicara - Praia Grande - São Paulo ", 70 m² construídos | 2 quartos ,265.000
691, Rua Adelaide dos Santos Barreira - Jardim Chapadão - Campinas - São Paulo , 250 m² construídos | 3 quartos ,3.000
692, Rua Guadelupe - Jardim América - São Paulo Zona Sul - São Paulo , 752 m² construídos | 4 quartos ,14.000.000
693, Rua Marginal 7052 - Jardim Das Palmeiras - Itanhaém - São Paulo , 131 m² construídos | 3 quartos ,165.000
694, Vila Nova Bonsucesso - Guarulhos - São Paulo , 42 m² construídos | 2 quartos ,180.000
695, bunjiro nakao km 87 - Centro - Ibiúna - São Paulo , 600 m² totais ,25.000
696," Rua Monte Fujiyama, 51 - Mogi das Cruzes - São Paulo ", 475 m² totais | 3 quartos ,7.000.000
697, Alphaville - Barueri/SP - Alphaville Conde II - Barueri - São Paulo , 517 m² construídos | 5 quartos ,3.100.000
698, Rua Antonio Soares Godinho 37 - Barnabes - Juquitiba - São Paulo , 24000 m² construídos | 4 quartos ,300.000
699, Rua Juçaral - Parada XV de Novembro - São Paulo Zona Leste - São Paulo , 88 m² construídos | 2 quartos ,299.000
700, Elisa de Carvalho 189 - Vila Matilde - São Paulo Zona Leste - São Paulo , 43 m² construídos | 2 quartos ,209.999
701, Estrada da Boiada - Vinhedo - São Paulo , 620 m² construídos | 5 quartos ,3.900.000
