,localizacao,tamanho_quartos,valor
47, Colinas - Rio das Ostras - Rio de Janeiro , 367 m² construídos | 4 quartos ,1.100.000
48, Alphaville Nova Esplanada - Votorantim - São Paulo , 370 m² construídos | 4 quartos ,3.199.000
49, Araçoiaba da Serra - São Paulo , 600 m² construídos | 4 quartos ,3.600.000
50, Rua Vladimir Herzog - Jardim Residencial Dona Lucilla - Indaiatuba - São Paulo , 263 m² construídos | 4 quartos ,1.400.000
51, Rua Dona Claudina 393 - Méier - Rio de Janeiro Zona Norte - Rio de Janeiro , 169 m² construídos | 3 quartos ,769.000
52, Rua Marginal 6630 - Balneário Gaivota - Itanhaém - São Paulo , 53 m² construídos | 2 quartos ,160.000
53, Búzios - Rio de Janeiro , 101 m² construídos | 1 quarto ,980.000
54, Vila Endres - Guarulhos - São Paulo , 147 m² construídos | 2 quartos ,1.500
55," Rua Celso Mazzucatto, 225 - Jardim Wanel Ville IV - Sorocaba - São Paulo ", 70 m² construídos | 2 quartos ,215.000
56, Rua Marginal 7042 - Balneário Gaivota - Itanhaém - São Paulo , 77 m² construídos | 2 quartos ,180.000
57, Maitinga - Bertioga - São Paulo , 450 m² construídos | 5 quartos ,1.700.000
58, Jardim Residencial Sunset Village - Sorocaba - São Paulo , 520 m² construídos | 4 quartos ,3.300.000
59, Jardim Ipê - São Bernardo do Campo - São Paulo , 120 m² construídos | 3 quartos ,1.400
60, Tude Bastos - Praia Grande - São Paulo , 58 m² construídos | 2 quartos ,190.000
61, Rua do Peru - Eldorado - Contagem - Minas Gerais , 30 m² construídos | 1 quarto ,650
62, Rua Mato Grosso - Itanhaém - São Paulo , 55 m² construídos | 2 quartos ,181.500
63, Jardim Residencial Giverny - Sorocaba - São Paulo , 321 m² construídos | 3 quartos ,1.900.000
64," BOM PASTOR, R - Osvaldo Cruz - São Caetano do Sul - São Paulo ", 3 quartos ,2.200
65, Rua asfaltada proximo ao centro 32 - Centro - Itanhaém - São Paulo , 70 m² construídos | 2 quartos ,190.000
66, Rua Viale Itália - Indaiatuba - São Paulo , 350 m² construídos | 3 quartos ,2.870.000
67, Rua Via Verona - Indaiatuba - São Paulo , 300 m² construídos | 4 quartos ,7.500
68, Demarchi - São Bernardo do Campo - São Paulo , 120 m² construídos | 3 quartos ,550.000
69, Alphaville Nova Esplanada - Votorantim - São Paulo , 362 m² construídos | 4 quartos ,2.700.000
70, Rua Giuseppe Ferrari - Umuarama - Osasco - São Paulo , 80 m² construídos | 2 quartos ,800
71, Mirim - Praia Grande - São Paulo , 82 m² construídos | 3 quartos ,240.000
72, Bonfim Paulista - São Paulo , 106 m² construídos | 3 quartos ,510.000
73, Rua Vinte e Três - Jardins Do Imperio - Indaiatuba - São Paulo , 160 m² construídos | 3 quartos ,580.000
74, Nova Ribeirânia - Ribeirão Preto - São Paulo , 195 m² construídos | 3 quartos ,480.000
75, Votorantim - São Paulo , 790 m² construídos | 4 quartos ,3.300.000
76, Vemag 40 - Vila Carioca - São Paulo Zona Sul - São Paulo , 30 m² construídos | 1 quarto ,700
77, Rua Marginal 7064 - Jardim Califórnia - Itanhaém - São Paulo , 214 m² construídos | 3 quartos ,310.000
78, Parque Reserva Fazenda Imperial - Sorocaba - São Paulo , 350 m² construídos | 3 quartos ,1.600.000
79, Alameda Borboleta Branca - Indaiatuba - São Paulo , 260 m² construídos | 4 quartos ,1.750.000
80, Rua Vera Cruz - Anchieta - São Bernardo do Campo - São Paulo , 174 m² construídos | 3 quartos ,630.000
81, Jardim Residencial Mont Blanc - Sorocaba - São Paulo , 331 m² construídos | 4 quartos ,2.190.000
82, Jardim Residencial Sunset Village - Sorocaba - São Paulo , 520 m² construídos | 4 quartos ,3.300.000
83, Jardim Guaramar - Praia Grande - São Paulo , 50 m² construídos | 2 quartos ,165.000
84, Betel - Paulínia - São Paulo , 220 m² construídos | 3 quartos ,1.250.000
85, Itanhaém - São Paulo , 65 m² construídos | 2 quartos ,299.000
86, rua coemente bonifacio 175 - Alto da Mooca - São Paulo Zona Leste - São Paulo , 70 m² construídos | 2 quartos ,265.000
87, Rua Americana - Baeta Neves - São Bernardo do Campo - São Paulo , 176 m² construídos | 2 quartos ,600.000
88," Rua Doutor Nereu Ramos, 500 - Vila Eros - Sorocaba - São Paulo ", 65 m² construídos | 2 quartos ,175.000
89, Rua Rubens Bonito - Jardim Residencial Helvétia Park II - Indaiatuba - São Paulo , 400 m² totais | 4 quartos ,3.200.000
90, Mirim - Praia Grande - São Paulo , 62 m² construídos | 2 quartos ,185.000
